Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
59;27160;"Radiophysics and Quantum Electronics";journal;"00338443, 15739120";0,318;Q3;24;52;276;1478;205;276;0,81;28,42;United States;Northern America;"Springer New York";"1967-2020";"Electrical and Electronic Engineering (Q2); Astronomy and Astrophysics (Q3); Electronic, Optical and Magnetic Materials (Q3); Nuclear and High Energy Physics (Q3); Statistical and Nonlinear Physics (Q3)"
60;28246;"Solar System Research";journal;"00380946, 16083423";0,317;Q3;29;72;196;2135;170;195;0,76;29,65;Russian Federation;Eastern Europe;"Pleiades Publishing";"1969-1971, 1996-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q4)"
61;21100847472;"Open Astronomy";journal;"25436376";0,309;Q3;27;27;99;1703;93;99;1,03;63,07;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q4)"
62;21100390408;"Bulgarian Astronomical Journal";journal;"13145592, 13132709";0,259;Q4;6;30;49;543;33;47;0,68;18,10;Bulgaria;Eastern Europe;"Institute of Astronomy and Rozhen NAO";"2014-2020";"Astronomy and Astrophysics (Q4)"
63;5800170634;"Astropolitics";journal;"14777622, 15572943";0,256;Q4;8;9;42;0;16;41;0,36;0,00;United States;Northern America;"Routledge";"2007-2020";"Political Science and International Relations (Q2); Astronomy and Astrophysics (Q4)"
64;26770;"Astrophysics";journal;"15738191, 05717256";0,242;Q4;18;54;156;1484;116;156;0,68;27,48;Germany;Western Europe;"Springer GmbH &amp; Co, Auslieferungs-Gesellschaf";"1965-1991, 1993-1996, 1999-2020";"Astronomy and Astrophysics (Q4)"
65;6400153151;"Contributions of the Astronomical Observatory Skalnate Pleso";journal;"13360337, 13351842";0,228;Q4;12;101;183;1795;101;180;0,57;17,77;Slovakia;Eastern Europe;"Astronomical Institute, Slovak Academy of Sciences";"2007-2020";"Astronomy and Astrophysics (Q4)"
66;19700173017;"Kinematics and Physics of Celestial Bodies";journal;"19348401, 08845913";0,220;Q4;10;28;83;937;49;83;0,66;33,46;Russian Federation;Eastern Europe;"Pleiades Publishing";"2009-2020";"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
67;21100215175;"Proceedings International Radar Symposium";conference and proceedings;"21555753";0,217;-;20;82;474;1125;401;470;0,91;13,72;United States;Northern America;"";"2005, 2012, 2013, 2014, 2019";"Astronomy and Astrophysics; Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Instrumentation; Signal Processing"
68;13200;"Applied Computational Electromagnetics Society Journal";journal;"10544887";0,216;Q4;29;271;681;4859;525;681;0,84;17,93;United States;Northern America;"Applied Computational Electromagnetics Society (ACES)";"1989, 1991-2020";"Electrical and Electronic Engineering (Q3); Astronomy and Astrophysics (Q4)"
69;800147107;"EAS Publications Series";book series;"16334760, 16381963";0,199;Q4;24;0;37;0;18;37;0,49;0,00;France;Western Europe;"EDP Sciences";"2004-2016, 2019";"Engineering (miscellaneous) (Q3); Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
70;7100153115;"Serbian Astronomical Journal";journal;"1450698X";0,196;Q4;16;11;32;435;17;32;0,39;39,55;Serbia;Eastern Europe;"Astronomical Observatory";"2007-2019";"Astronomy and Astrophysics (Q4)"
71;21100255701;"Proceedings of the International Astronautical Congress, IAC";conference and proceedings;"00741795";0,190;-;15;1233;5145;22489;820;5108;0,17;18,24;United States;Northern America;"International Astronautical Federation, IAF";"2012-2019";"Aerospace Engineering; Astronomy and Astrophysics; Space and Planetary Science"
72;13216;"Applied Computational Electromagnetics Society Newsletter";trade journal;"10569170";0,186;Q4;14;0;24;0;20;22;0,83;0,00;United States;Northern America;"Applied Computational Electromagnetics Society (ACES)";"1996-2009, 2011, 2018-2019";"Electrical and Electronic Engineering (Q3); Astronomy and Astrophysics (Q4)"
73;21100936537;"Romanian Astronomical Journal";journal;"22853758, 12205168";0,184;Q4;3;17;19;371;11;19;0,58;21,82;Romania;Eastern Europe;"Editura Academiei Romane";"2019";"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
74;5700165169;"Information Bulletin on Variable Stars";journal;"03740676, 15872440";0,182;Q4;16;0;78;0;28;78;0,53;0,00;Hungary;Eastern Europe;"Hungarian Academy of Sciences (Konkoly Observatory)";"2007-2019";"Astronomy and Astrophysics (Q4); Instrumentation (Q4)"
75;21100390419;"Memorie della Societa Astronomica Italiana - Journal of the Italian Astronomical Society";conference and proceedings;"1824016X";0,182;-;15;0;260;0;84;252;0,44;0,00;Italy;Western Europe;"";"2009";"Astronomy and Astrophysics; Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering; Instrumentation; Radiology, Nuclear Medicine and Imaging"
76;26757;"Astronomy and Geophysics";journal;"14684004, 13668781";0,168;Q4;22;61;294;794;66;151;0,17;13,02;United Kingdom;Western Europe;"Oxford University Press";"1996-2020";"Astronomy and Astrophysics (Q4); Geochemistry and Petrology (Q4); Geophysics (Q4)"
77;15400155600;"Nuovo Cimento della Societa Italiana di Fisica C";journal;"20374909, 18269885";0,164;Q4;25;67;603;1404;177;594;0,37;20,96;Italy;Western Europe;"Editrice Compositori s.r.l.";"1978-2019";"Astronomy and Astrophysics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
78;21100851338;"Proceedings of RAGtime";conference and proceedings;"23365668, 23365676";0,146;-;3;38;24;741;13;22;0,00;19,50;Czech Republic;Eastern Europe;"";"2017";"Astronomy and Astrophysics; Physics and Astronomy (miscellaneous)"
79;21100297820;"Astrophysics and Space Science Proceedings";conference and proceedings;"15706605, 15706591";0,132;-;22;0;327;0;93;219;0,40;0,00;Netherlands;Western Europe;"";"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019";"Astronomy and Astrophysics; Computer Science Applications; Nuclear and High Energy Physics; Physics and Astronomy (miscellaneous); Space and Planetary Science; Spectroscopy"
80;27149;"Chinese Astronomy and Astrophysics";journal;"02751062";0,132;Q4;12;34;109;1010;33;109;0,21;29,71;United Kingdom;Western Europe;"Elsevier Ltd.";"1981-2020";"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
81;8000153116;"Revista Mexicana de Astronomia y Astrofisica: Serie de Conferencias";conference and proceedings;"14052059";0,131;-;28;0;27;0;5;25;0,00;0,00;Mexico;Latin America;"";"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2014, 2017";"Astronomy and Astrophysics; Space and Planetary Science"
82;5700163879;"KronoScope: Journal for the Study of Time";journal;"1567715X, 15685241";0,130;Q4;8;17;36;460;6;27;0,17;27,06;Netherlands;Western Europe;"Brill Academic Publishers";"2001-2019";"History and Philosophy of Science (Q3); Philosophy (Q3); Astronomy and Astrophysics (Q4); Social Sciences (miscellaneous) (Q4)"
83;21100892731;"14th Marcel Grossman Meeting On Recent Developments in Theoretical and Experimental General Relativity, Astrophysics and Relativistic Field Theories, Proceedings";conference and proceedings;"-";0,129;-;7;0;375;0;44;373;0,12;0,00;Singapore;Asiatic Region;"";"2018";"Astronomy and Astrophysics; Nuclear and High Energy Physics"
84;5000157802;"Proceedings of the International Astronomical Union";book series;"17439221, 17439213";0,124;Q4;23;362;1395;7133;301;1336;0,17;19,70;United Kingdom;Western Europe;"Cambridge University Press";"2004-2020";"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
85;21100842803;"Astronomical and Astrophysical Transactions";journal;"14763540, 10556796";0,114;Q4;2;0;49;0;10;48;0,32;0,00;United Kingdom;Western Europe;"Cambridge Scientific Publishers Ltd";"2017-2019";"Astronomy and Astrophysics (Q4); Instrumentation (Q4)"
86;21100923618;"6th International Workshop on New Worlds in Astroparticle Physics, NWAP 2007";conference and proceedings;"-";0,112;-;0;0;3;0;0;2;0,00;0,00;United Kingdom;Western Europe;"";"2019";"Astronomy and Astrophysics"
87;27764;"Observatory";journal;"00297704";0,111;Q4;14;19;75;586;12;50;0,19;30,84;United Kingdom;Western Europe;"Rutherford Appleton Laboratory";"1996-2013, 2015, 2017-2020";"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
88;21100894749;"Proceedings of the International Conference Days on Diffraction, DD 2018";conference and proceedings;"-";0,110;-;4;0;58;0;19;57;0,33;0,00;United States;Northern America;"";"2018";"Astronomy and Astrophysics; Computational Mathematics; Mechanics of Materials; Radiation; Safety, Risk, Reliability and Quality"
89;21100932649;"Peremennye Zvezdy";journal;"22210474";0,106;Q4;1;10;4;78;1;4;0,25;7,80;Russian Federation;Eastern Europe;"Sternberg Astronomical Institute of Moscow University";"2019";"Astronomy and Astrophysics (Q4)"
90;4700151711;"Journal for the History of Astronomy";journal;"00218286";0,103;Q4;17;18;57;0;11;57;0,24;0,00;United States;Northern America;"SAGE Publications Inc.";"1970-2020";"Arts and Humanities (miscellaneous) (Q4); Astronomy and Astrophysics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
91;21100911927;"Proceedings - 43rd Rencontres de Moriond on Cosmology";conference and proceedings;"-";0,101;-;0;0;26;0;0;25;0,00;0,00;Switzerland;Western Europe;"";"2018";"Astronomy and Astrophysics"
